"MacroTrends Data Download"
"BRK.A - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-10-06,390,405,390,390,20000
1980-10-07,390,410,390,390,20000
1980-10-08,390,390,390,390,0
1980-10-09,390,410,390,390,50000
1980-10-10,390,390,390,390,0
1980-10-13,390,390,390,390,0
1980-10-14,400,415,400,400,10000
1980-10-15,400,400,400,400,0
1980-10-16,405,420,405,405,30000
1980-10-17,410,425,410,410,10000
1980-10-20,410,410,410,410,0
1980-10-21,425,440,425,425,20000
1980-10-22,425,425,425,425,0
1980-10-23,425,425,425,425,0
1980-10-24,425,425,425,425,0
1980-10-27,425,435,420,420,10000
1980-10-28,420,420,420,420,0
1980-10-29,420,420,420,420,0
1980-10-30,420,420,420,420,0
1980-10-31,420,420,420,420,0
1980-11-03,420,420,405,405,10000
1980-11-05,410,420,410,410,20000
1980-11-06,410,410,410,410,0
1980-11-07,410,410,410,410,0
1980-11-10,410,410,410,410,0
1980-11-11,410,410,410,410,0
1980-11-12,410,410,410,410,0
1980-11-13,410,415,400,400,20000
1980-11-14,400,420,400,400,50000
1980-11-17,410,425,410,410,10000
1980-11-18,410,410,410,410,0
1980-11-19,420,435,420,420,20000
1980-11-20,420,440,420,420,10000
1980-11-21,430,445,430,430,10000
1980-11-24,430,430,430,430,0
1980-11-25,430,450,430,430,10000
1980-11-26,430,430,430,430,0
1980-11-28,430,430,430,430,0
1980-12-01,450,465,450,450,10000
1980-12-02,450,450,450,450,0
1980-12-03,450,450,450,450,0
1980-12-04,460,475,460,460,10000
1980-12-05,460,460,460,460,0
1980-12-08,470,490,470,470,30000
1980-12-09,470,485,470,470,20000
1980-12-10,470,475,455,455,10000
1980-12-11,445,445,425,425,30000
1980-12-12,425,425,425,425,0
1980-12-15,425,425,425,425,0
1980-12-16,425,425,425,425,0
1980-12-17,425,425,425,425,0
1980-12-18,425,425,425,425,0
1980-12-19,425,425,425,425,0
1980-12-22,425,425,425,425,0
1980-12-23,425,425,425,425,0
1980-12-24,425,435,420,420,10000
1980-12-26,420,435,420,420,10000
1980-12-29,420,435,420,420,30000
1980-12-30,425,440,425,425,10000
1980-12-31,425,425,425,425,0
1981-01-02,425,425,425,425,0
1981-01-05,425,425,425,425,0
1981-01-06,425,425,425,425,0
1981-01-07,430,445,430,430,20000
1981-01-08,430,445,425,425,20000
1981-01-09,425,445,425,425,20000
1981-01-12,425,425,425,425,0
1981-01-13,425,425,425,425,0
1981-01-14,425,425,425,425,0
1981-01-15,425,445,425,425,10000
1981-01-16,425,445,425,425,10000
1981-01-19,425,445,425,425,10000
1981-01-20,425,425,425,425,0
1981-01-21,425,425,425,425,0
1981-01-22,425,425,425,425,0
1981-01-23,430,445,430,430,10000
1981-01-26,430,430,430,430,0
1981-01-27,430,430,430,430,0
1981-01-28,430,430,430,430,0
1981-01-29,430,430,430,430,0
1981-01-30,430,430,430,430,0
1981-02-02,430,450,430,430,10000
1981-02-03,430,430,430,430,0
1981-02-04,430,430,430,430,0
1981-02-05,430,450,430,430,10000
1981-02-06,430,445,430,430,20000
1981-02-09,430,430,430,430,0
1981-02-10,430,445,430,430,30000
1981-02-11,430,430,430,430,0
1981-02-12,430,430,430,430,0
1981-02-13,430,445,425,425,20000
1981-02-17,425,425,425,425,0
1981-02-18,425,425,425,425,0
1981-02-19,425,425,425,425,0
1981-02-20,425,425,425,425,0
1981-02-23,435,455,435,435,10000
1981-02-24,445,465,445,445,10000
1981-02-25,455,475,455,455,20000
1981-02-26,480,495,480,480,10000
1981-02-27,485,500,485,485,10000
1981-03-02,485,485,485,485,0
1981-03-03,485,500,485,485,10000
1981-03-04,485,485,485,485,0
1981-03-05,485,485,485,485,0
1981-03-06,485,485,485,485,0
1981-03-09,485,500,485,485,40000
1981-03-10,485,485,485,485,0
1981-03-11,485,485,485,485,0
1981-03-12,485,505,485,485,10000
1981-03-13,485,500,485,485,50000
1981-03-16,485,485,485,485,0
1981-03-17,485,495,480,480,10000
1981-03-18,480,480,480,480,0
1981-03-19,480,495,475,475,10000
1981-03-20,475,475,475,475,0
